Date,Open,High,Low,Close,Adj Close,Volume
2015-05-18,60950.000000,61000.000000,60800.000000,60900.000000,59326.203125,13981
2015-05-19,61500.000000,62150.000000,60149.300781,61750.000000,60154.234375,19150
2015-05-20,62400.000000,62500.000000,62150.000000,62150.000000,60543.898438,65338
2015-05-21,61900.000000,62533.500000,61750.000000,62100.000000,60495.191406,18679
2015-05-22,62100.000000,62300.000000,61923.601563,61950.000000,60349.070313,27780
2015-05-26,61850.000000,61950.000000,61054.800781,61400.000000,59813.281250,10360
2015-05-27,59700.000000,61400.000000,59600.000000,60400.000000,58839.125000,51580
2015-05-28,59500.000000,60100.000000,59050.000000,59650.000000,58108.503906,42941
2015-05-29,59200.000000,59500.000000,59000.000000,59200.000000,57670.132813,46987
2015-06-01,58450.000000,59221.199219,58200.000000,58450.000000,56939.515625,44177
2015-06-02,58700.000000,59200.000000,58500.000000,59000.000000,57475.296875,47063
2015-06-03,58050.000000,58900.000000,58000.000000,58900.000000,57377.882813,69430
2015-06-04,null,null,null,null,null,null
2015-06-05,60700.000000,60700.000000,59500.000000,59600.000000,58059.796875,21223
2015-06-08,58750.000000,59800.800781,58150.000000,58350.000000,56842.101563,31653
2015-06-09,null,null,null,null,null,null
2015-06-10,57100.000000,57150.000000,56850.000000,57150.000000,55673.113281,17009
2015-06-11,null,null,null,null,null,null
2015-06-12,57200.000000,57400.000000,57000.000000,57200.000000,55721.820313,10277
2015-06-15,57150.000000,57200.000000,56411.800781,57000.000000,55526.984375,25561
2015-06-16,56350.000000,56450.000000,56050.000000,56050.000000,54601.539063,17810
2015-06-17,56350.000000,56550.000000,56150.000000,56550.000000,55088.617188,31037
2015-06-18,null,null,null,null,null,null
2015-06-19,null,null,null,null,null,null
2015-06-22,null,null,null,null,null,null
2015-06-23,59700.000000,59750.000000,59500.000000,59500.000000,57962.378906,19244
2015-06-24,58700.000000,58750.000000,58100.000000,58300.000000,56793.390625,27299
2015-06-25,null,null,null,null,null,null
2015-06-26,57150.000000,57300.000000,57050.000000,57050.000000,55575.699219,33361
2015-06-29,56900.000000,57350.000000,56650.000000,56950.000000,55519.578125,14989
2015-06-30,null,null,null,null,null,null
2015-07-01,null,null,null,null,null,null
2015-07-02,null,null,null,null,null,null
2015-07-03,56750.000000,56950.000000,56550.000000,56650.000000,55227.113281,9627
2015-07-06,55000.000000,55300.000000,54850.000000,55300.000000,53911.023438,24614
2015-07-07,55200.000000,55200.000000,54500.000000,54650.000000,53277.347656,39816
2015-07-08,null,null,null,null,null,null
2015-07-09,55500.000000,56500.000000,54200.000000,55950.000000,54544.695313,31646
2015-07-10,null,null,null,null,null,null
2015-07-13,null,null,null,null,null,null
2015-07-14,null,null,null,null,null,null
2015-07-15,null,null,null,null,null,null
2015-07-16,null,null,null,null,null,null
2015-07-17,null,null,null,null,null,null
2015-07-20,null,null,null,null,null,null
2015-07-21,54300.000000,54600.000000,54250.000000,54550.000000,53179.859375,13443
2015-07-22,null,null,null,null,null,null
2015-07-23,null,null,null,null,null,null
2015-07-24,null,null,null,null,null,null
2015-07-27,null,null,null,null,null,null
2015-07-28,null,null,null,null,null,null
2015-07-29,null,null,null,null,null,null
2015-07-30,null,null,null,null,null,null
2015-07-31,null,null,null,null,null,null
2015-08-03,null,null,null,null,null,null
2015-08-04,50500.000000,51250.000000,50255.601563,51150.000000,49865.253906,20376
2015-08-05,null,null,null,null,null,null
2015-08-06,48020.000000,49067.500000,47777.101563,48300.000000,47086.847656,54471
2015-08-07,null,null,null,null,null,null
2015-08-10,null,null,null,null,null,null
2015-08-11,null,null,null,null,null,null
2015-08-12,null,null,null,null,null,null
2015-08-13,null,null,null,null,null,null
2015-08-14,null,null,null,null,null,null
2015-08-17,null,null,null,null,null,null
